# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:30:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpXCq6sw/standata-176cf4ed53ada.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061230-2-9826fd.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061230-2-76be33.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.254202
# Diagonal elements of inverse mass matrix:
# 0.978365, 0.211998
-174.158,0.986659,0.254202,3,11,0,175.115,0.777051,0.463572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.753,0.987443,0.254202,3,15,0,176.198,0.632563,0.244492,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-177.391,0.98895,0.254202,3,15,0,177.766,0.588024,0.130475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-176.526,0.994227,0.254202,4,15,0,178.72,0.165979,0.331139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-178.745,0.98894,0.254202,4,15,0,179.165,0.057145,0.64009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.571,0.998732,0.254202,3,7,0,178.796,0.197468,0.554146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.909,0.999001,0.254202,4,15,0,176.015,0.903331,0.664247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.955,1,0.254202,3,7,0,174.972,0.906279,0.65374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.549,0.997669,0.254202,3,15,0,175.188,0.673343,0.526908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.192,0.996743,0.254202,2,7,0,173.961,0.618446,0.663236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.815,0.990574,0.254202,3,15,0,173.911,0.41261,0.560509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.251,0.989607,0.254202,2,5,0,174.816,0.342891,0.534443,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.707,0.998051,0.254202,3,15,0,174.663,0.682218,0.494193,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.055,0.996699,0.254202,3,15,0,174.422,0.4123,0.490014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.888,0.996706,0.254202,3,7,0,175.04,0.388763,0.356816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-177.198,0.988739,0.254202,3,15,0,177.408,0.349583,0.142536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-178.076,0.995254,0.254202,3,7,0,178.222,0.15205,0.139224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-179.875,0.999716,0.254202,4,31,0,181.928,0.111242,0.0472296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-178.012,0.974624,0.254202,3,15,0,185.448,0.553891,0.0960542,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-177.171,0.986642,0.254202,3,15,0,178.523,0.68921,0.15677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-177.231,0.989289,0.254202,3,15,0,178.613,0.504496,0.134496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-178.675,0.997972,0.254202,4,17,0,179.635,0.201078,0.0783418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.77,0.985973,0.254202,5,31,0,180.72,0.264178,0.595662,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.01,0.989304,0.254202,3,7,0,176.241,0.734286,0.460333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.745,1,0.254202,3,7,0,174.175,0.760512,0.536116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.084,0.99716,0.254202,3,15,0,174.381,0.833158,0.570491,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.939,0.996988,0.254202,3,15,0,174.773,0.597111,0.441874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.458,0.972974,0.254202,2,5,0,176.502,0.746864,0.704579,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.369,0.934516,0.254202,2,7,0,176.924,0.717856,0.399911,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
