# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:28:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c5566696718.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061328-1-47c5a0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061328-1-096bb3.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.335967
# Diagonal elements of inverse mass matrix:
# 0.256348, 1.2261
-1599.69,0.999795,0.335967,4,15,0,1601.03,0.691572,0.0186857,1.01886,0.234501,8.74518,1,1,1,0,-0.00625827,0.00193023,0.999995,0.495358,0.504642,-1725.46
-1599.53,0.999897,0.335967,3,15,0,1599.78,0.547136,0.00819537,1.00823,0.0839206,7.41559,0,1,1,1,-0.0230126,0.0104216,0.999801,0.497999,0.502001,-1729.28
-1600.26,0.988449,0.335967,3,7,0,1600.47,0.596248,0.00255099,1.00255,0.682667,7.95441,1,1,1,0,-0.0158448,0.00639738,0.999931,0.499372,0.500628,-1731.26
-1600.54,0.997853,0.335967,2,3,0,1600.57,0.568907,0.00193997,1.00194,0.753588,7.37127,1,1,1,1,-0.0196483,0.00847024,0.999874,0.499525,0.500475,-1731.48
-1599.43,0.9882,0.335967,2,7,0,1601.12,0.547458,0.0103486,1.0104,0.326287,5.50778,0,1,1,1,-0.0229608,0.0103907,0.999803,0.497473,0.502527,-1728.52
-1600.29,0.979283,0.335967,2,7,0,1600.87,0.642314,0.00263884,1.00264,0.979724,4.99702,0,1,0,1,-0.0105137,0.00376061,0.999978,0.499347,0.500653,-1731.22
-1600.82,0.99455,0.335967,2,3,0,1600.89,0.67715,0.00169755,1.0017,0.829532,0.265755,0,0,1,1,-0.00735681,0.00237515,0.999992,0.499579,0.500421,-1731.56
-1600.76,0.996463,0.335967,3,15,0,1601.18,0.723726,0.00275747,1.00276,0.470823,4.11855,0,1,0,1,-0.00421631,0.00116486,0.999998,0.499314,0.500686,-1731.17
-1600.51,0.993193,0.335967,3,7,0,1601.73,0.768204,0.0126494,1.01273,0.256134,9.51718,0,1,1,1,-0.00221769,0.000514052,1,0.496845,0.503155,-1727.56
-1600.22,0.999347,0.335967,2,3,0,1600.63,0.74671,0.0112888,1.01135,0.881592,2.30825,1,1,1,1,-0.00307345,0.000778476,0.999999,0.497187,0.502813,-1728.07
-1600.22,0.9971,0.335967,3,15,0,1600.86,0.687092,0.00376187,1.00377,0.375622,0.837182,1,1,1,1,-0.00658692,0.0020611,0.999994,0.499066,0.500934,-1730.81
-1599.79,0.995585,0.335967,3,15,0,1601.08,0.706813,0.0111657,1.01123,0.400403,2.82959,1,1,1,0,-0.00522253,0.00153118,0.999997,0.497223,0.502777,-1728.14
-1600.21,0.98504,0.335967,2,7,0,1600.93,0.746923,0.0145202,1.01463,0.715283,3.05847,1,1,1,1,-0.00306398,0.000775424,0.999999,0.496381,0.503619,-1726.9
-1599.67,0.977268,0.335967,4,15,0,1601.59,0.623782,0.0293009,1.02973,0.699592,9.54811,0,1,1,1,-0.0124965,0.00470141,0.999965,0.492767,0.507233,-1721.83
-1599.55,0.967843,0.335967,4,15,0,1600.62,0.671634,0.0105005,1.01056,0.585173,9.40438,0,1,1,1,-0.00780849,0.00256405,0.99999,0.497395,0.502605,-1728.4
-1599.72,0.993844,0.335967,3,15,0,1600.16,0.478018,0.0135211,1.01361,0.280674,4.60841,1,1,1,0,-0.035487,0.0185236,0.99928,0.496742,0.503258,-1727.46
-1599.43,0.990835,0.335967,3,7,0,1600.66,0.635418,0.00963769,1.00968,0.61591,1.81625,1,1,0,0,-0.0112264,0.00409296,0.999974,0.497618,0.502382,-1728.72
-1599.72,0.994803,0.335967,3,7,0,1599.82,0.534117,0.00642054,1.00644,0.38846,4.39802,0,1,1,1,-0.0251619,0.0117225,0.999742,0.498436,0.501564,-1729.91
-1599.86,0.997926,0.335967,2,3,0,1599.92,0.545194,0.00488874,1.0049,0.533217,1.69148,1,1,1,1,-0.0233268,0.0106092,0.999793,0.498807,0.501193,-1730.44
-1600.64,0.993399,0.335967,3,15,0,1601.16,0.43528,0.0377056,1.03843,0.0390111,4.81748,0,0,1,0,-0.0442701,0.0250002,0.998556,0.491005,0.508995,-1719.3
-1599.76,1,0.335967,3,11,0,1600.88,0.686524,0.00769715,1.00773,0.764348,0.941361,1,1,1,1,-0.00662934,0.00207814,0.999994,0.498088,0.501912,-1729.39
-1599.89,0.998523,0.335967,3,7,0,1600.08,0.719418,0.0126896,1.01277,0.042732,9.40913,1,1,1,1,-0.00445885,0.00125107,0.999998,0.496842,0.503158,-1727.58
-1600.2,0.990685,0.335967,1,3,0,1600.38,0.746367,0.0129469,1.01303,0.36474,5.98511,1,1,1,1,-0.00308871,0.0007834,0.999999,0.496773,0.503227,-1727.47
-1600.37,0.997338,0.335967,2,3,0,1600.44,0.757109,0.016308,1.01644,0.0122748,3.79673,0,1,1,0,-0.00263514,0.000640052,0.999999,0.495934,0.504066,-1726.25
-1600.41,0.982103,0.335967,3,15,0,1601.41,0.670754,0.0396519,1.04045,0.348083,8.04657,1,1,0,1,-0.00788216,0.00259517,0.99999,0.490167,0.509833,-1718.17
-1600.33,0.999954,0.335967,3,7,0,1601.49,0.419077,0.0100616,1.01011,0.994678,9.35931,1,1,1,1,-0.0477289,0.0277268,0.998152,0.497609,0.502391,-1728.69
-1599.85,0.934083,0.335967,3,7,0,1606.23,0.714027,0.0165134,1.01665,0.287333,0.906004,0,1,0,1,-0.00477545,0.00136565,0.999997,0.495891,0.504109,-1726.21
-1599.61,0.999774,0.335967,3,11,0,1599.92,0.499867,0.0117257,1.01179,0.552011,8.95827,1,1,1,1,-0.031275,0.0156417,0.99951,0.497162,0.502838,-1728.07
-1600.07,0.990886,0.335967,3,7,0,1600.4,0.552621,0.00357573,1.00358,0.914967,7.16412,1,1,0,1,-0.0221376,0.00990388,0.999822,0.499126,0.500874,-1730.91
-1602.41,0.978472,0.335967,3,11,0,1604.06,0.699043,0.000364363,1.00036,0.850081,0.747804,0,0,1,0,-0.00573487,0.00172595,0.999996,0.499909,0.500091,-1732.04
-1601.51,0.997522,0.335967,4,15,0,1603.28,0.461856,0.0012408,1.00124,0.634646,0.562355,0,1,1,1,-0.0387351,0.0208451,0.999056,0.499702,0.500298,-1731.74
