# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:59:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpgrDZRT/standata-75124c3124f4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061359-2-5736fb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061359-2-70ed32.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.237721
# Diagonal elements of inverse mass matrix:
# 0.256109, 2.06682
-1601.08,0.999179,0.237721,2,3,0,1601.11,0.799239,0.0097857,1.00983,0.663916,0.999925,1689,2499,0.689812,0.732988,1713,1824,-0.00129836,0.00026066,1,0.497557,0.502443,-1728.58
-1599.7,0.999889,0.237721,3,7,0,1601.28,0.67879,0.0225998,1.02286,0.644332,0.653242,1628,1614,0.663468,0.735529,1645,1829,-0.00722593,0.00232105,0.999992,0.494391,0.505609,-1724.09
-1599.85,0.981362,0.237721,3,7,0,1600.54,0.6784,0.0269581,1.02732,0.61552,0.999926,1540,2499,0.663381,0.736397,1725,1821,-0.00725692,0.00233383,0.999992,0.49331,0.50669,-1722.56
-1599.41,0.986527,0.237721,3,15,0,1600.58,0.532176,0.0155578,1.01568,0.627424,0.998067,1551,2498,0.62999,0.73413,1539,1809,-0.025491,0.0119253,0.999732,0.496211,0.503789,-1726.71
-1599.31,0.999143,0.237721,3,11,0,1599.6,0.619767,0.0147394,1.01485,0.511062,0.980898,1263,2449,0.650165,0.733968,1632,1842,-0.0129548,0.00492583,0.999961,0.496363,0.503637,-1726.93
-1599.51,0.987311,0.237721,3,11,0,1601.06,0.510355,0.0167354,1.01688,0.526423,0.515797,1305,1310,0.62489,0.734364,1570,1820,-0.0293359,0.0143642,0.999595,0.495941,0.504059,-1726.32
-1599.59,0.997665,0.237721,3,7,0,1599.68,0.516163,0.0234795,1.02376,0.690705,0.994205,1726,2480,0.62625,0.735704,1584,1858,-0.0282868,0.0136862,0.999637,0.494299,0.505701,-1723.99
-1599.61,0.991926,0.237721,4,15,0,1599.95,0.674675,0.00930293,1.00935,0.645103,0.973048,1612,2431,0.662549,0.732892,1650,1808,-0.00755728,0.00245858,0.999991,0.497692,0.502308,-1728.82
-1599.69,0.998729,0.237721,2,3,0,1599.71,0.679206,0.00822903,1.00826,0.716911,0.999817,1782,2499,0.663562,0.73268,1644,1857,-0.00719291,0.00230744,0.999992,0.497958,0.502042,-1729.21
-1600.36,0.98725,0.237721,4,15,0,1601.32,0.584508,0.00231572,1.00232,0.572177,0.999765,1402,2499,0.642104,0.731514,1630,1781,-0.0174198,0.00723777,0.99991,0.499431,0.500569,-1731.35
-1601.16,0.997857,0.237721,3,7,0,1601.2,0.61858,0.000951602,1.00095,0.594237,0.977272,1518,2441,0.649896,0.731246,1591,1818,-0.0130921,0.00499357,0.99996,0.499765,0.500235,-1731.83
-1600.83,0.999684,0.237721,4,15,0,1601.54,0.680864,0.00171267,1.00171,0.711738,0.999889,1801,2499,0.663932,0.731395,1690,1829,-0.00706258,0.00225393,0.999993,0.499575,0.500425,-1731.55
-1601.25,0.997957,0.237721,3,7,0,1601.35,0.723397,0.00155514,1.00156,0.63714,0.998798,1596,2494,0.673355,0.731364,1696,1849,-0.00423451,0.00117128,0.999998,0.499613,0.500387,-1731.61
-1603.98,0.980624,0.237721,4,15,0,1605.77,0.230255,0.0304125,1.03088,0.522712,0.966947,1290,2404,0.557311,0.737086,1380,1783,-0.0814495,0.0626954,0.981326,0.493159,0.506841,-1722.07
-1602.74,0.99098,0.237721,2,3,0,1604.24,0.279247,0.0315016,1.032,0.513753,0.999858,1302,2499,0.569362,0.737304,1419,1853,-0.0755165,0.0544287,0.988834,0.492808,0.507192,-1721.63
-1599.37,0.999633,0.237721,3,15,0,1603.8,0.545308,0.014009,1.01411,0.658157,0.528985,1649,1311,0.633046,0.733823,1589,1837,-0.0233083,0.0105981,0.999794,0.49658,0.50342,-1727.24
-1599.44,0.994122,0.237721,2,7,0,1599.87,0.584455,0.00850399,1.00854,0.582793,0.895881,1421,2257,0.642092,0.732734,1596,1840,-0.0174271,0.00724175,0.99991,0.497911,0.502089,-1729.15
-1599.67,0.99794,0.237721,3,15,0,1599.96,0.484633,0.0140491,1.01415,0.66739,0.999697,1650,2499,0.618841,0.733831,1542,1830,-0.0341886,0.0176197,0.999358,0.49661,0.50339,-1727.27
-1599.79,0.997641,0.237721,3,7,0,1599.94,0.473101,0.011768,1.01184,0.57958,0.869078,1425,2181,0.616117,0.73338,1517,1796,-0.0364641,0.0192129,0.999217,0.497168,0.502832,-1728.07
-1599.94,0.994463,0.237721,3,15,0,1600.37,0.511406,0.00539034,1.0054,0.507371,0.999619,1225,2497,0.625136,0.73212,1564,1846,-0.0291446,0.0142399,0.999603,0.498692,0.501308,-1730.27
-1599.3,0.998123,0.237721,4,15,0,1600.42,0.583143,0.0136985,1.01379,0.698113,0.999781,1727,2499,0.64179,0.733762,1615,1847,-0.0176085,0.00734024,0.999908,0.496636,0.503364,-1727.32
-1599.93,0.982108,0.237721,3,7,0,1601,0.683985,0.0279883,1.02838,0.517306,0.999932,1289,2499,0.664627,0.736602,1625,1845,-0.00682148,0.00215569,0.999993,0.493051,0.506949,-1722.19
-1599.83,0.999944,0.237721,4,15,0,1600.31,0.665524,0.00553925,1.00555,0.730352,0.996969,1805,2491,0.6605,0.732149,1625,1879,-0.0083296,0.00278605,0.999988,0.498627,0.501373,-1730.18
-1599.93,0.995347,0.237721,4,15,0,1600.94,0.492427,0.0306239,1.0311,0.588572,0.994998,1503,2488,0.620678,0.737129,1558,1865,-0.0326841,0.0165896,0.99944,0.492599,0.507401,-1721.58
-1599.67,0.997602,0.237721,3,9,0,1600.13,0.606964,0.00559963,1.00562,0.690604,0.926937,1699,2326,0.647248,0.732161,1626,1843,-0.0144841,0.00569279,0.999947,0.49862,0.50138,-1730.17
-1599.34,0.999535,0.237721,4,15,0,1599.86,0.615294,0.0190859,1.01927,0.53655,0.999821,1398,2499,0.649147,0.73483,1640,1841,-0.0134772,0.00518475,0.999956,0.495293,0.504707,-1725.4
-1599.94,0.976802,0.237721,3,15,0,1600.64,0.713124,0.0210092,1.02123,0.692727,0.944861,1752,2358,0.671091,0.735212,1679,1819,-0.00482992,0.00138559,0.999997,0.494773,0.505227,-1724.62
-1599.51,0.997453,0.237721,3,15,0,1600.67,0.510784,0.0174734,1.01763,0.535935,0.724778,1405,1817,0.62499,0.73451,1543,1827,-0.0292577,0.0143133,0.999598,0.495761,0.504239,-1726.06
-1599.57,0.998192,0.237721,3,7,0,1599.68,0.517886,0.0100349,1.01009,0.616066,0.762412,1519,1940,0.626653,0.733037,1551,1871,-0.0279791,0.0134891,0.999648,0.497562,0.502438,-1728.64
-1599.97,0.991526,0.237721,4,15,0,1600.65,0.622332,0.00375063,1.00376,0.641517,0.999706,1588,2498,0.650749,0.731797,1599,1816,-0.0126608,0.00478159,0.999963,0.499074,0.500926,-1730.83
-1600.54,0.996723,0.237721,4,15,0,1600.75,0.711763,0.00315509,1.00316,0.600308,0.998133,1493,2491,0.670791,0.731679,1690,1833,-0.00491287,0.00141607,0.999997,0.499215,0.500785,-1731.03
-1600.43,0.999927,0.237721,3,7,0,1600.7,0.695643,0.00309637,1.0031,0.500943,0.999869,1247,2499,0.667221,0.731668,1684,1810,-0.00596927,0.00181679,0.999995,0.499231,0.500769,-1731.05
-1600.37,0.999922,0.237721,3,7,0,1600.52,0.707742,0.00378662,1.00379,0.64838,0.999928,1588,2499,0.669902,0.731804,1699,1835,-0.00516343,0.00150905,0.999997,0.499058,0.500942,-1730.8
-1599.93,0.971533,0.237721,2,7,0,1603,0.713095,0.00862931,1.00867,0.616616,0.999953,1556,2499,0.671085,0.732759,1694,1826,-0.00483167,0.00138623,0.999997,0.497853,0.502147,-1729.05
-1599.76,1,0.237721,3,7,0,1600.05,0.702336,0.0173175,1.01747,0.721306,0.99989,1838,2498,0.668705,0.734479,1678,1813,-0.00551379,0.00164126,0.999996,0.495695,0.504305,-1725.94
-1600.28,0.97394,0.237721,3,7,0,1601.56,0.752417,0.0125003,1.01258,0.705962,0.86978,1778,2178,0.679705,0.733525,1711,1834,-0.00282712,0.000699949,0.999999,0.496884,0.503116,-1727.62
-1599.39,0.995108,0.237721,3,9,0,1601.45,0.54833,0.019362,1.01955,0.682283,0.907613,1681,2275,0.633748,0.734885,1600,1830,-0.0228206,0.0103074,0.999806,0.495271,0.504729,-1725.37
