# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:56:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c55d8ee9d7.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061356-1-59a0d6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061356-1-4351f5.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.335967
# Diagonal elements of inverse mass matrix:
# 0.256348, 1.2261
-1600.1,0.99141,0.335967,3,7,0,1600.13,0.6806,0.0323187,1.03285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.02,0.992606,0.335967,2,3,0,1600.3,0.680824,0.0306613,1.03114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.08,0.996218,0.335967,3,7,0,1600.28,0.688227,0.0307314,1.03121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.78,1,0.335967,3,7,0,1600.41,0.602335,0.00475959,1.00477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.4,0.999231,0.335967,3,7,0,1599.97,0.550935,0.0112596,1.01132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.52,0.99846,0.335967,3,7,0,1599.56,0.632682,0.0245196,1.02482,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.6,0.998295,0.335967,2,3,0,1599.63,0.644187,0.0256592,1.02599,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.41,0.992844,0.335967,3,7,0,1600.59,0.408227,0.0111354,1.0112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.05,0.993881,0.335967,3,7,0,1601.2,0.379267,0.00646021,1.00648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.08,0.997892,0.335967,2,3,0,1601.27,0.370483,0.00748748,1.00752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.46,0.993222,0.335967,3,7,0,1602.5,0.422945,0.00197896,1.00198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.76,0.998042,0.335967,3,15,0,1601.95,0.621092,0.00146791,1.00147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.49,0.992186,0.335967,3,15,0,1601.37,0.469627,0.00371228,1.00372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.46,0.99824,0.335967,2,3,0,1600.72,0.483569,0.00337913,1.00338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.5,0.983484,0.335967,3,7,0,1602.36,0.727691,0.0310259,1.03151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.37,0.994232,0.335967,3,11,0,1602.02,0.407224,0.0141347,1.01424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.48,0.991567,0.335967,3,9,0,1601.41,0.766344,0.0127134,1.01279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.6,0.936975,0.335967,2,7,0,1606.17,0.393818,0.00247592,1.00248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.76,0.995982,0.335967,4,15,0,1602.56,0.67506,0.0253646,1.02569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.38,0.909967,0.335967,2,3,0,1601.77,0.66641,0.0397321,1.04053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.49,1,0.335967,3,7,0,1600.8,0.573469,0.0254681,1.0258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.74,0.994349,0.335967,3,7,0,1599.76,0.582785,0.032281,1.03281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.94,0.817079,0.335967,3,15,0,1603.04,0.539475,0.000480431,1.00048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.74,0.997872,0.335967,2,3,0,1602.08,0.520704,0.000641952,1.00064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.82,0.999581,0.335967,1,1,0,1601.82,0.518222,0.000600704,1.0006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.5,0.947127,0.335967,2,7,0,1603.35,0.573039,0.0077217,1.00775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.4,0.977243,0.335967,3,7,0,1600.99,0.403667,0.0143147,1.01442,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.37,0.974163,0.335967,3,7,0,1602.53,0.634502,0.0176986,1.01786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.91,0.96449,0.335967,3,11,0,1601.38,0.385011,0.0308226,1.0313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.56,0.999615,0.335967,3,7,0,1601.12,0.530597,0.0246593,1.02497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.63,0.988896,0.335967,3,15,0,1600.01,0.612429,0.0290726,1.0295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.16,0.964645,0.335967,3,7,0,1601.18,0.428598,0.0123893,1.01247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.4,1,0.335967,3,7,0,1600.27,0.624246,0.0097383,1.00979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
