# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:46:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c55474a9251.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061246-2-3161b9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061246-2-0620e9.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.301352
# Diagonal elements of inverse mass matrix:
# 0.843689, 1.07651
-177.222,0.992239,0.301352,4,15,0,178.573,0.578594,0.151542,1.16363,0.65047,9.89493,0,1,1,0,-0.000619289,0.000260972,0.602329,0.331776,0.668224,-171.206
-177.485,0.988538,0.301352,3,7,0,177.681,0.453421,0.0862492,1.09008,0.539503,0.0536067,1,1,1,1,-0.00424648,0.00232104,0.519216,0.363233,0.636767,-170.926
-177.192,0.975929,0.301352,3,7,0,179.004,0.566247,0.0645421,1.06667,0.811184,8.72934,0,1,0,1,-0.000768659,0.000333408,0.592803,0.347169,0.652831,-170.336
-177.639,0.991854,0.301352,3,7,0,177.973,0.43818,0.149035,1.16071,0.491958,9.64714,1,1,1,0,-0.00518894,0.00291525,0.511546,0.357154,0.642846,-171.615
-179.286,0.952914,0.301352,3,11,0,179.46,0.928843,0.0415185,1.04239,0.00377197,13.4156,1,1,1,1,-6.1075e-10,4.34595e-11,0.928866,0.275231,0.724769,-170.677
-177.204,0.996326,0.301352,3,11,0,179.341,0.687024,0.0663629,1.06861,0.041319,1.32375,1,1,0,1,-6.51971e-05,2.04051e-05,0.694549,0.322537,0.677463,-170.242
-177.072,0.97967,0.301352,2,7,0,179.143,0.580975,0.0968777,1.10173,0.997335,2.83927,1,1,1,1,-0.00059355,0.000248712,0.604193,0.339617,0.660383,-170.611
-177.307,0.989082,0.301352,4,15,0,177.646,0.591282,0.0481989,1.04938,0.715478,2.18013,1,1,1,1,-0.000492395,0.000201251,0.612361,0.344776,0.655224,-170.143
-177.574,0.98737,0.301352,4,15,0,178.211,0.784256,0.0959048,1.10065,0.938725,6.72648,1,1,1,1,-3.71797e-06,8.02128e-07,0.786056,0.29626,0.70374,-170.738
-177.414,0.999861,0.301352,4,15,0,177.61,0.75766,0.0923172,1.09671,0.889952,6.96989,0,1,1,1,-9.14152e-06,2.21536e-06,0.760475,0.302797,0.697203,-170.622
-178.225,0.987974,0.301352,3,15,0,178.561,0.726143,0.0161858,1.01632,0.272189,4.85253,0,1,1,0,-2.34453e-05,6.42066e-06,0.730648,0.322448,0.677552,-169.778
-178.932,0.99619,0.301352,3,9,0,179.984,0.620181,0.00659708,1.00662,0.41546,2.91031,0,1,1,1,-0.000283492,0.000107676,0.636049,0.345252,0.654748,-169.757
-178.433,0.998391,0.301352,3,7,0,179.128,0.719053,0.0124874,1.01257,0.227943,7.38229,0,1,1,0,-2.85304e-05,8.01553e-06,0.724022,0.324517,0.675483,-169.742
-178.12,0.999925,0.301352,3,7,0,178.62,0.745575,0.0197817,1.01998,0.595972,11.6286,1,1,0,1,-1.33066e-05,3.38553e-06,0.74897,0.317796,0.682204,-169.825
-178.646,0.987076,0.301352,3,11,0,179.566,0.799157,0.0141417,1.01424,0.439069,9.40933,0,1,1,1,-2.13298e-06,4.28395e-07,0.800523,0.307481,0.692519,-169.849
-177.791,0.996444,0.301352,4,15,0,179.671,0.787068,0.136286,1.14601,0.0778477,4.20752,0,1,1,1,-3.35832e-06,7.15094e-07,0.788779,0.288241,0.711759,-171.295
-177.97,0.993452,0.301352,3,7,0,178.624,0.838502,0.0703827,1.07292,0.745567,14.972,1,1,1,1,-3.89643e-07,6.29265e-08,0.83909,0.288994,0.711006,-170.605
-178.453,0.99577,0.301352,3,7,0,178.922,0.344604,0.16207,1.17594,0.317972,9.24543,0,1,1,1,-0.0157172,0.010301,0.479971,0.366808,0.633192,-172.427
-178.337,1,0.301352,2,3,0,178.514,0.362592,0.174319,1.19044,0.668158,9.63794,0,1,0,0,-0.0128916,0.00821718,0.483765,0.363421,0.636579,-172.405
-178.315,1,0.301352,4,15,0,178.413,0.35773,0.161131,1.17484,0.201644,14.1346,0,1,0,1,-0.0136097,0.00874107,0.482625,0.365628,0.634372,-172.299
-178.862,0.993563,0.301352,3,9,0,179.092,0.901069,0.0388432,1.03961,0.173381,1.22263,0,1,1,1,-8.27603e-09,8.18752e-10,0.901157,0.281537,0.718463,-170.486
-177.508,0.994388,0.301352,4,15,0,180.201,0.542196,0.0403808,1.04121,0.706894,3.62246,0,1,0,1,-0.00114948,0.000526239,0.574971,0.354923,0.645077,-170.195
-177.272,0.999797,0.301352,3,7,0,177.575,0.53575,0.0625991,1.0646,0.784267,0.841031,0,0,1,1,-0.0012754,0.000592103,0.570366,0.353005,0.646995,-170.397
-177.275,0.999632,0.301352,3,15,0,177.411,0.636886,0.0494498,1.05069,0.324346,9.08645,1,1,0,1,-0.000201784,7.32706e-05,0.650224,0.335598,0.664402,-170.093
-177.631,0.994278,0.301352,3,15,0,177.996,0.432313,0.136939,1.14676,0.841237,6.25033,1,1,1,1,-0.00559598,0.00317677,0.508765,0.35962,0.64038,-171.521
-178.925,0.947961,0.301352,2,3,0,179.074,0.293166,0.104054,1.10966,0.175774,2.85062,1,1,1,1,-0.0267711,0.0189227,0.475934,0.377912,0.622088,-172.373
-178.883,1,0.301352,1,1,0,178.983,0.296308,0.106365,1.11223,0.239279,13.5932,1,1,1,1,-0.02595,0.0182608,0.475875,0.377442,0.622558,-172.359
-178.842,0.999987,0.301352,4,15,0,179.811,0.843143,0.0161013,1.01623,0.931558,10.2025,1,1,1,1,-3.10172e-07,4.86526e-08,0.843668,0.297891,0.702109,-169.981
