# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:13:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c5559b7615c.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061313-1-8717f5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061313-1-686b12.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.333916
# Diagonal elements of inverse mass matrix:
# 0.929154, 1.45949
-178.079,0.95977,0.333916,2,7,0,178.498,0.517317,0.0212148,1.02144,0.918703,5.2513,1,1,0,1,-0.00170235,0.000821695,0.557635,0.497052,0.502948,-172.332
-177.661,0.987889,0.333916,3,7,0,178.878,0.47183,0.184673,1.20283,0.129371,5.36083,0,1,1,1,-0.00330511,0.00174566,0.529292,0.475735,0.524265,-170.72
-179.163,0.932308,0.333916,3,11,0,179.633,0.916821,0.0345765,1.03518,0.820891,4.47839,1,1,1,1,-2.1021e-09,1.74851e-10,0.916865,0.492075,0.507925,-171.997
-183.352,0.939126,0.333916,4,15,0,185.767,0.82197,0.00012786,1.00013,0.636577,7.3507,1,1,1,1,-8.34152e-07,1.48504e-07,0.822828,0.499974,0.500026,-172.592
-184.326,0.994204,0.333916,4,15,0,184.931,0.918213,0.000131815,1.00013,0.158954,0.138412,1,1,1,0,-1.83933e-09,1.50433e-10,0.918254,0.49997,0.50003,-172.591
-184.48,0.999982,0.333916,3,7,0,184.735,0.939898,0.000167839,1.00017,0.823816,1.65116,1,1,1,0,-1.60069e-10,9.62054e-12,0.93991,0.499961,0.500039,-172.591
-177.199,1,0.333916,3,7,0,186.766,0.605976,0.147256,1.15865,0.534924,7.40878,1,1,1,1,-0.000373899,0.000147325,0.624266,0.477048,0.522952,-170.823
-177.137,0.990558,0.333916,2,3,0,177.347,0.601443,0.134129,1.14354,0.379287,12.2497,0,1,0,1,-0.000407515,0.000162418,0.620561,0.479217,0.520783,-170.968
-178.687,0.894955,0.333916,2,3,0,179.933,0.516247,0.297641,1.34668,0.841049,7.72224,0,1,1,1,-0.00173047,0.000837123,0.556917,0.458782,0.541218,-169.766
-177.342,0.996556,0.333916,3,7,0,180.08,0.74121,0.0752475,1.07815,0.594724,6.07042,0,1,1,1,-1.51705e-05,3.92597e-06,0.744834,0.485992,0.514008,-171.508
-177.214,0.998112,0.333916,3,7,0,177.53,0.580013,0.0588338,1.0606,0.585087,8.41363,1,1,0,0,-0.000603833,0.000253602,0.603439,0.491134,0.508866,-171.847
-177.333,0.995194,0.333916,2,7,0,177.434,0.536056,0.0552861,1.05684,0.67344,9.4393,1,1,0,1,-0.00126915,0.000588814,0.570584,0.492132,0.507868,-171.919
-179.176,0.946679,0.333916,3,7,0,179.632,0.346641,0.0216402,1.02188,0.346496,8.68202,0,1,1,1,-0.0153734,0.0100443,0.480341,0.497485,0.502515,-172.377
-177.865,0.998094,0.333916,3,7,0,179.403,0.442228,0.0444092,1.04541,0.340619,14.99,1,1,1,1,-0.00492286,0.00274583,0.513522,0.494354,0.505646,-172.1
-177.143,0.98821,0.333916,3,7,0,178.447,0.556741,0.126931,1.13534,0.0147002,2.99491,0,1,1,0,-0.000903734,0.000400588,0.585637,0.481453,0.518547,-171.109
-177.096,0.992599,0.333916,2,7,0,177.401,0.639709,0.0772849,1.08035,0.299772,2.48445,0,1,1,0,-0.000190204,6.85286e-05,0.652651,0.487396,0.512604,-171.574
-177.767,0.971815,0.333916,2,7,0,178.302,0.759403,0.0342528,1.03485,0.121553,1.81853,0,0,1,1,-8.6459e-06,2.08018e-06,0.762141,0.493474,0.506526,-172.073
-181.116,0.950857,0.333916,4,15,0,181.728,0.985201,0.0576663,1.05936,0.758115,4.2927,1,1,1,0,-2.26608e-15,3.35347e-17,0.985202,0.485801,0.514199,-171.568
-181.072,0.994576,0.333916,3,7,0,181.357,0.982002,0.101996,1.10738,0.583579,1.67904,1,1,1,0,-1.08117e-14,1.94587e-16,0.982002,0.474981,0.525019,-170.862
