# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:32:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c554685cc18.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061232-2-572e3e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061232-2-70e475.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.274457
# Diagonal elements of inverse mass matrix:
# 1.58248, 0.327487
-174.345,0.98997,0.274457,3,15,0,175.331,0.938814,0.834206,0.0481519,1.36053,1,1,0,1,-1.84465e-10,1.12868e-11,0.938827,0.313636,0.686364,-168.542
-174.438,0.974438,0.274457,2,3,0,174.964,0.949927,0.815712,0.498673,13.9873,1,1,1,0,-3.75493e-11,1.88022e-12,0.949933,0.315426,0.684574,-168.425
-174.259,1,0.274457,1,1,0,174.439,0.950544,0.782449,0.0410469,4.47358,1,1,1,1,-3.40214e-11,1.68255e-12,0.95055,0.322183,0.677817,-168.195
-175.923,0.927564,0.274457,3,9,0,176.793,0.983181,0.360533,0.343295,14.6336,1,1,1,0,-6.2959e-15,1.05891e-16,0.983181,0.412299,0.587701,-168.068
-174.202,0.988421,0.274457,3,15,0,179.764,0.422407,0.913016,0.510947,2.1491,1,1,0,1,-0.00634444,0.00366451,0.504291,0.38826,0.61174,-169.93
-173.597,0.998957,0.274457,3,7,0,174.538,0.446795,0.67983,0.659883,4.45211,1,1,0,1,-0.00463667,0.00256503,0.515805,0.413987,0.586013,-169.059
-175.776,0.940046,0.274457,3,7,0,176.366,0.483444,0.241762,0.348266,4.38376,0,1,1,1,-0.00280743,0.0014502,0.536082,0.467813,0.532187,-170.245
-175.098,0.998731,0.274457,2,3,0,175.82,0.507426,0.29979,0.126429,6.80363,1,1,1,0,-0.00197782,0.000974225,0.551085,0.458939,0.541061,-169.778
-177.022,0.978274,0.274457,3,7,0,177.331,0.163176,0.342827,0.592942,8.54637,1,1,0,1,-0.0837716,0.0701021,0.51977,0.462701,0.537299,-171.229
-178.089,0.997454,0.274457,2,3,0,178.205,0.0939381,0.370192,0.876236,9.17957,0,1,1,0,-0.136339,0.123531,0.58761,0.458333,0.541667,-171.899
-178.324,0.996098,0.274457,4,15,0,180.213,0.999087,0.787114,0.0461564,2.36099,1,1,1,1,-4.84196e-25,4.42281e-28,0.999087,0.312943,0.687057,-168.323
-176.249,0.981741,0.274457,3,7,0,178.946,0.995573,0.527911,0.835315,10.5303,0,1,1,1,-1.46864e-19,6.50158e-22,0.995573,0.37155,0.62845,-167.442
-173.104,0.999833,0.274457,3,15,0,176.922,0.874999,0.69268,0.714406,8.91399,1,1,1,1,-5.22607e-08,6.53266e-09,0.875216,0.352916,0.647084,-167.768
-173.295,0.997251,0.274457,3,7,0,173.355,0.88621,0.532795,0.569567,7.43325,1,1,0,1,-2.49456e-08,2.83855e-09,0.886361,0.384084,0.615916,-167.627
-176.042,0.899322,0.274457,2,3,0,176.49,0.89276,1.08272,0.613101,2.12379,1,1,0,1,-1.56364e-08,1.67685e-09,0.892879,0.275531,0.724469,-170.993
-173.404,1,0.274457,2,3,0,175.999,0.912673,0.698363,0.841972,7.60717,0,1,1,0,-3.08875e-09,2.6973e-10,0.912727,0.345831,0.654169,-167.76
-175.253,0.943213,0.274457,4,15,0,175.607,0.970813,0.378765,0.0422296,14.3162,0,1,1,0,-5.1125e-13,1.49217e-14,0.970814,0.409094,0.590906,-167.985
-176.757,0.966723,0.274457,4,15,0,180.52,0.995395,0.795963,0.135564,6.73812,0,1,1,0,-2.01433e-19,9.27678e-22,0.995395,0.311676,0.688324,-168.381
-175.936,1,0.274457,2,3,0,176.804,0.994458,0.584971,0.0394935,11.7515,0,1,1,1,-8.85086e-19,4.90524e-21,0.994458,0.358535,0.641465,-167.451
-173.811,0.975737,0.274457,3,15,0,176.821,0.950096,0.606544,0.525724,13.334,0,1,1,0,-3.65498e-11,1.82397e-12,0.950102,0.359789,0.640211,-167.513
-173.036,0.986015,0.274457,3,7,0,174.363,0.869896,0.640555,0.0724538,6.70881,1,1,1,1,-7.15719e-08,9.31178e-09,0.87015,0.364154,0.635846,-167.66
-172.819,0.999052,0.274457,2,7,0,173.185,0.801464,0.646723,0.166578,6.32164,0,1,1,0,-1.94974e-06,3.87094e-07,0.802771,0.373047,0.626953,-167.792
-173.848,0.967329,0.274457,3,7,0,174.873,0.409466,0.64502,0.824184,8.82052,1,1,1,1,-0.0074478,0.00439818,0.498884,0.42141,0.57859,-169.238
-174.475,0.985237,0.274457,3,11,0,174.888,0.974289,0.660628,0.950323,8.64311,0,1,1,1,-1.86058e-13,4.78374e-15,0.974289,0.344423,0.655577,-167.62
-173.755,0.991028,0.274457,3,7,0,174.694,0.94625,0.645217,0.644744,14.127,1,1,1,1,-6.59306e-11,3.54375e-12,0.946258,0.351936,0.648064,-167.586
-172.962,0.998457,0.274457,2,7,0,174.095,0.834235,0.583111,0.530663,1.74332,1,1,0,1,-4.77759e-07,7.91957e-08,0.834885,0.380641,0.619359,-167.696
-173.752,0.987173,0.274457,3,7,0,173.971,0.946703,0.629016,0.0958229,1.61965,1,1,1,0,-6.16446e-11,3.28546e-12,0.946711,0.355375,0.644625,-167.551
-173.222,0.995,0.274457,3,7,0,173.959,0.892494,0.693996,0.451575,7.1043,1,1,1,1,-1.59438e-08,1.71405e-09,0.892615,0.349902,0.650098,-167.757
-173.638,0.981017,0.274457,2,3,0,173.644,0.912165,0.771917,0.378059,9.12678,1,1,1,1,-3.23381e-09,2.84042e-10,0.91222,0.330891,0.669109,-168.094
-173.618,0.994508,0.274457,4,15,0,174.135,0.56565,0.929073,0.462173,14.8075,1,1,1,1,-0.000776612,0.000337322,0.592348,0.365954,0.634046,-169.369
-174.083,0.972368,0.274457,2,3,0,174.147,0.588777,1.01849,0.464291,4.37607,1,1,1,1,-0.000515511,0.00021199,0.610361,0.349527,0.650473,-169.905
-174.194,0.955818,0.274457,2,3,0,174.912,0.566255,1.02953,0.0371217,5.5291,1,1,0,1,-0.000768554,0.000333356,0.592809,0.352168,0.647832,-170.04
-172.824,1,0.274457,2,3,0,174.149,0.670034,0.656477,0.0983181,9.82897,0,1,1,1,-9.75572e-05,3.21906e-05,0.679257,0.390347,0.609653,-168.142
