lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.157107
# Diagonal elements of inverse mass matrix:
# 3.52485, 1.38287
-3.38743,0.995085,0.157107,3,11,0,4.70861,0.363218,1.77739,5.91441,-0.555266,0.379187,0,1,0,0,1,0,1,1,0,0,1,1
-3.77743,0.99426,0.157107,4,15,0,4.37167,0.203388,0.380587,1.46314,0.865611,0.690915,0,0,1,1,0,1,1,1,1,0,1,1
-3.48396,0.998908,0.157107,4,15,0,4.26023,0.445566,1.90266,6.7037,0.426464,-0.449644,0,1,1,0,1,1,0,0,1,1,1,1
-3.52584,1,0.157107,4,15,0,3.99543,0.414243,0.319958,1.37707,1.58076,-0.305003,1,1,1,0,0,1,1,1,1,0,0,0
-3.88984,0.999357,0.157107,4,15,0,4.21192,0.559335,0.212715,1.23703,0.413097,0.691029,0,0,1,1,0,1,0,1,1,0,0,0
-3.11749,0.988884,0.157107,3,9,0,5.55303,0.334023,1.47041,4.351,0.163676,0.472315,1,1,0,0,0,0,0,0,1,0,0,0
-4.57571,0.966486,0.157107,4,31,0,4.73064,0.584823,0.106932,1.11286,0.360581,0.833384,1,1,0,0,0,1,1,1,1,0,0,1
-6.86871,0.990319,0.157107,4,19,0,7.12661,0.912551,0.0326791,1.03322,0.430202,1.348,0,1,1,0,1,1,0,1,0,1,1,1
-6.22897,0.99977,0.157107,2,7,0,7.17538,0.866987,0.0428921,1.04383,0.353603,-0.0977435,0,1,1,0,1,1,1,0,1,0,1,1
-6.0899,0.995403,0.157107,4,31,0,7.78746,0.733302,0.0290511,1.02948,0.887697,0.743504,1,1,1,0,1,1,1,0,0,0,0,1
-3.10103,0.996784,0.157107,4,31,0,6.79107,0.388599,1.52966,4.61661,0.846085,-0.231192,0,1,1,0,1,1,0,1,1,0,1,1
-3.09025,0.999552,0.157107,4,15,0,3.19268,0.405259,1.53372,4.63537,0.351259,0.769515,0,1,1,0,1,0,0,1,1,0,1,1
-2.95135,0.975435,0.157107,3,7,0,4.57137,0.67092,1.15129,3.16228,0.789505,0.702051,1,1,1,0,1,0,0,0,1,0,0,1
-2.86205,0.997951,0.157107,3,15,0,3.35089,0.402891,0.867689,2.3814,1.12807,0.654701,0,0,1,0,1,1,0,1,1,0,1,0
-3.68413,0.995042,0.157107,4,15,0,3.89375,0.687662,1.94557,6.99759,1.69485,0.693063,1,1,1,0,1,1,0,0,1,0,0,1
-2.99091,0.998398,0.157107,3,15,0,3.95638,0.523933,0.607067,1.83504,0.350772,0.285878,0,0,1,1,0,1,1,1,0,0,1,1
-3.12567,0.998083,0.157107,3,11,0,3.47842,0.690747,1.42777,4.16941,0.679815,1.00022,0,1,1,1,1,1,0,1,1,0,0,1
-2.95601,0.973114,0.157107,2,7,0,4.72928,0.687009,1.00919,2.74337,0.441817,0.186587,1,0,1,0,0,1,1,1,0,1,1,1
-2.97498,0.999199,0.157107,3,15,0,3.16824,0.312049,0.871096,2.38953,0.822353,1.13955,0,1,1,1,1,1,0,0,1,1,1,0
-3.77414,0.993259,0.157107,3,7,0,4.14031,0.497474,2.10358,8.19543,0.50669,0.38489,0,1,1,1,1,1,0,0,1,0,1,0
-3.90993,0.993845,0.157107,4,15,0,4.25117,0.625006,0.219579,1.24555,1.71514,0.0729214,1,0,1,0,0,1,0,1,1,0,1,1
-4.80497,0.999812,0.157107,4,15,0,4.86927,0.471525,0.0826555,1.08617,-0.432597,-0.302479,0,0,0,1,0,0,0,1,0,1,1,1
-3.29089,0.986786,0.157107,3,11,0,6.54819,0.579842,0.417903,1.51877,0.652148,1.15256,1,1,1,0,1,1,1,1,1,0,0,0
-4.4267,0.995479,0.157107,4,15,0,4.94786,0.166262,2.14164,8.51336,-0.221216,-0.182101,1,1,0,0,1,0,0,1,1,1,0,1
-3.00836,0.998711,0.157107,3,15,0,6.1437,0.386397,1.40952,4.09398,1.99239,0.548063,0,0,1,0,0,1,0,1,1,0,0,0
-3.01749,0.999733,0.157107,4,15,0,3.11278,0.493949,0.580717,1.78732,0.46967,-0.059456,0,1,1,0,1,0,0,1,1,1,1,1
-3.04075,0.998182,0.157107,3,11,0,3.43807,0.347488,1.39166,4.02152,0.732654,0.924637,0,1,1,1,1,1,0,1,1,1,0,1
-3.1679,0.997573,0.157107,3,7,0,3.23509,0.391773,1.60478,4.97679,0.31534,0.0243676,0,0,0,0,0,0,0,0,1,0,1,0
-3.18505,0.998823,0.157107,2,3,0,3.2281,0.394185,1.6242,5.07434,0.0246288,0.839768,0,0,0,0,0,1,0,1,1,1,1,0
-3.41952,0.988203,0.157107,2,3,0,3.53663,0.364922,1.80504,6.08024,0.357229,0.285475,0,1,0,1,0,1,0,1,1,0,1,0
-2.83991,0.998915,0.157107,4,15,0,3.66284,0.558957,1.14707,3.14896,0.540225,-0.172565,1,0,1,1,1,0,0,1,1,0,0,1
-2.84248,0.999044,0.157107,3,15,0,3.04062,0.416627,1.09661,2.99399,0.71015,0.883217,0,0,1,1,0,1,0,1,0,1,0,1
-3.19847,0.997939,0.157107,4,15,0,3.23204,0.215422,0.958332,2.60734,0.920593,0.775292,0,1,1,1,0,1,1,1,1,0,1,1
-4.02602,0.995736,0.157107,3,7,0,4.15142,0.0807473,0.920758,2.51119,-0.809829,0.397756,1,1,0,1,0,0,1,1,1,1,0,0
-2.94177,0.998096,0.157107,5,31,0,4.97465,0.447685,0.669265,1.9528,0.370221,0.54586,0,0,1,1,1,0,0,1,1,0,1,1
-3.20023,0.998341,0.157107,4,15,0,3.33911,0.785053,0.956492,2.60255,0.109265,0.943217,0,0,0,0,1,0,1,1,0,1,1,1
-3.13402,1,0.157107,2,3,0,3.20298,0.763375,0.939016,2.55746,-0.264181,0.667722,1,1,0,0,1,1,0,1,0,1,0,0
-3.56281,0.994761,0.157107,4,31,0,4.27163,0.140786,0.827759,2.28818,0.11247,0.253245,1,0,1,0,1,0,0,0,0,1,0,0
-3.20913,1,0.157107,4,15,0,3.72451,0.248513,1.35177,3.86426,0.524787,0.777981,0,1,1,1,0,0,0,1,0,0,0,0
-4.25685,0.991826,0.157107,4,15,0,4.96273,0.0708718,0.679165,1.97223,0.650342,0.256333,1,0,1,0,0,0,0,0,0,0,0,0
-3.51366,0.998792,0.157107,3,9,0,5.03731,0.148795,0.836391,2.30802,-0.572717,0.728168,1,1,0,0,0,0,0,0,0,0,1,0
-4.8421,0.990876,0.157107,4,15,0,5.1291,0.824758,0.138158,1.14816,0.878015,0.137246,0,1,1,0,1,1,0,1,1,1,1,1
-3.73869,0.997213,0.157107,3,15,0,5.30009,0.820755,0.448053,1.56526,0.340706,1.2475,1,1,1,0,0,1,1,1,1,0,0,1
-3.38191,0.99954,0.157107,4,15,0,4.24713,0.696359,0.444737,1.56008,1.0572,-0.00300514,1,1,1,0,1,0,0,1,1,0,1,1
-4.22753,0.990503,0.157107,3,15,0,6.12282,0.520585,0.148136,1.15967,0.475935,0.726943,1,1,1,1,0,0,1,0,1,0,1,1
-3.49262,0.999547,0.157107,3,15,0,4.45867,0.36603,0.349276,1.41804,0.64742,-0.180639,1,0,1,1,0,1,0,1,1,0,0,1
-3.89171,0.996872,0.157107,3,7,0,4.07145,0.196943,0.343099,1.40931,0.390978,0.951308,0,0,0,1,1,0,0,1,1,1,0,0
-3.54303,0.999976,0.157107,3,7,0,3.92073,0.276887,0.390876,1.47828,0.0592486,0.944757,0,0,0,0,0,1,1,0,1,1,1,0
-3.60245,0.998417,0.157107,3,15,0,4.25,0.485332,0.284852,1.32956,0.723441,1.10227,0,0,1,1,1,1,0,0,1,0,1,1
-3.88351,0.991781,0.157107,4,31,0,5.34525,0.900097,0.773906,2.16822,0.282144,0.213915,0,1,1,0,1,1,0,0,0,0,0,1
-4.07091,0.99938,0.157107,4,15,0,4.39837,0.923618,1.02241,2.77989,0.819421,0.525394,0,1,1,1,1,1,0,1,1,1,1,1
-4.60714,0.986121,0.157107,4,31,0,5.69937,0.300269,0.119927,1.12741,1.13562,0.0450334,0,1,1,0,1,0,0,1,1,1,0,1
