# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:32:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c554685cc18.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061232-1-572e3e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061232-1-70e475.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.261622
# Diagonal elements of inverse mass matrix:
# 2.16336, 0.214063
-172.88,1,0.261622,3,15,0,173.786,0.820035,0.697138,0.201644,13.4187,1,1,1,1,-9.07519e-07,1.63321e-07,0.820929,0.360706,0.639294,-167.85
-172.836,0.996605,0.261622,3,11,0,173.279,0.769117,0.735465,0.641128,3.39024,1,1,1,1,-6.28704e-06,1.45157e-06,0.771454,0.361843,0.638157,-168.042
-173.724,0.975142,0.261622,3,15,0,174.237,0.939542,0.692861,0.438807,10.6185,1,1,0,0,-1.67746e-10,1.01416e-11,0.939554,0.342769,0.657231,-167.733
-173.345,0.99438,0.261622,3,7,0,174.031,0.908107,0.570074,0.317818,3.91032,1,1,1,1,-4.62101e-09,4.24638e-10,0.908172,0.373384,0.626616,-167.553
-173.234,0.99763,0.261622,3,15,0,173.88,0.623962,0.524659,0.261993,9.74434,0,1,1,0,-0.000262867,9.88478e-05,0.639228,0.416966,0.583034,-168.396
-173.271,0.999214,0.261622,2,3,0,173.314,0.622548,0.516571,0.754235,4.04269,0,1,1,1,-0.000270428,0.000102074,0.638037,0.418374,0.581626,-168.419
-173.644,0.997433,0.261622,3,7,0,173.828,0.721493,0.420394,0.134024,4.92454,0,1,1,1,-2.66825e-05,7.43129e-06,0.726298,0.424257,0.575743,-168.436
-172.913,0.997825,0.261622,3,15,0,174.09,0.627033,0.649745,0.0546798,0.825315,0,0,0,1,-0.000247076,9.21511e-05,0.641823,0.397268,0.602732,-168.276
-173.356,0.932374,0.261622,2,7,0,175.758,0.914274,0.656196,0.478687,0.678034,1,1,1,0,-2.66835e-09,2.28746e-10,0.914324,0.354349,0.645651,-167.636
-173.118,0.999912,0.261622,3,7,0,173.504,0.876794,0.584686,0.910878,1.5092,1,1,1,0,-4.66402e-08,5.74635e-09,0.877,0.374545,0.625455,-167.608
-173.136,0.9948,0.261622,3,15,0,173.508,0.853197,0.537865,0.226427,7.6825,0,1,1,1,-1.84633e-07,2.71047e-08,0.853603,0.387194,0.612806,-167.694
-173.644,0.994785,0.261622,4,15,0,174.02,0.521511,0.903013,0.353468,3.20622,0,1,1,0,-0.00159582,0.000763582,0.560473,0.376443,0.623557,-169.384
-174.863,0.948903,0.261622,2,3,0,174.889,0.482318,1.08814,0.178796,12.2861,0,1,1,1,-0.0028527,0.00147679,0.535409,0.359049,0.640951,-170.777
-175.954,0.782592,0.261622,4,15,0,179.763,0.989688,0.415161,0.259745,14.2611,1,1,1,0,-1.26574e-16,1.30527e-18,0.989688,0.398701,0.601299,-167.754
-175.146,0.999919,0.261622,3,7,0,176.07,0.987152,0.553886,0.287905,12.1089,1,1,1,1,-7.3291e-16,9.41638e-18,0.987152,0.366614,0.633386,-167.442
-174.136,0.999104,0.261622,3,7,0,175.245,0.96113,0.689666,0.683212,13.162,1,1,1,1,-5.00833e-12,1.94672e-13,0.961133,0.340097,0.659903,-167.722
-174.374,0.984904,0.261622,3,15,0,175.077,0.347895,0.584677,0.26777,2.10931,0,1,1,1,-0.0151648,0.00988903,0.480577,0.432388,0.567612,-169.606
-174.451,0.99871,0.261622,1,1,0,174.49,0.340707,0.574322,0.377594,1.6517,1,1,1,0,-0.0163928,0.0108076,0.479305,0.433924,0.566076,-169.656
-173.33,0.998309,0.261622,3,7,0,174.812,0.560405,0.548453,0.133126,12.934,1,1,1,1,-0.000849457,0.000373418,0.588381,0.420132,0.579868,-168.583
-173.699,0.991451,0.261622,3,7,0,174.005,0.815492,0.908373,0.892093,12.921,1,1,1,1,-1.10222e-06,2.03369e-07,0.816476,0.32264,0.67736,-168.939
-173.405,1,0.261622,3,15,0,174.218,0.886887,0.772033,0.818974,7.37131,1,1,1,0,-2.38012e-08,2.69222e-09,0.887034,0.335186,0.664814,-168.086
